Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Kevin Schade,de GER,FW,Brentford,23-035,2001,18,9,848,9.4,4,2,6,4,0,0,2,0,3.6,3.6,1.1,4.7,24,18,68,0.42,0.21,0.64,0.42,0.64,0.38,0.12,0.50,0.38,0.50
Fabian Schär,ch SUI,DF,Newcastle Utd,33-012,1991,17,17,1467,16.3,2,0,2,2,0,0,5,1,1.3,1.3,0.2,1.5,10,59,10,0.12,0.00,0.12,0.12,0.12,0.08,0.01,0.09,0.08,0.09
Jeffrey Schlupp,gh GHA,"MF,DF",Crystal Palace,32-009,1992,11,0,102,1.1,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,3,4,8,0.00,0.00,0.00,0.00,0.00,0.14,0.09,0.23,0.14,0.23
Alex Scott,eng ENG,MF,Bournemouth,21-133,2003,8,2,263,2.9,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,5,32,14,0.00,0.00,0.00,0.00,0.00,0.05,0.07,0.12,0.05,0.12
Matz Sels,be BEL,GK,Nott'ham Forest,32-310,1992,19,19,1710,19.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nélson Semedo,pt POR,DF,Wolves,31-046,1993,16,16,1406,15.6,0,3,3,0,0,0,6,0,0.4,0.4,1.4,1.8,30,35,44,0.00,0.19,0.19,0.00,0.19,0.02,0.09,0.12,0.02,0.12
Antoine Semenyo,gh GHA,FW,Bournemouth,24-360,2000,18,18,1566,17.4,5,2,7,5,0,0,5,0,5.9,5.9,3.1,9.0,74,52,152,0.29,0.11,0.40,0.29,0.40,0.34,0.18,0.52,0.34,0.52
Marcos Senesi,ar ARG,DF,Bournemouth,27-236,1997,11,11,917,10.2,0,0,0,0,0,0,4,0,0.8,0.8,0.4,1.2,11,45,3,0.00,0.00,0.00,0.00,0.00,0.08,0.04,0.12,0.08,0.12
Ryan Sessegnon,eng ENG,MF,Fulham,24-228,2000,2,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Luke Shaw,eng ENG,DF,Manchester Utd,29-173,1995,2,0,70,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bernardo Silva,pt POR,"MF,FW",Manchester City,30-144,1994,19,17,1556,17.3,2,4,6,2,0,0,4,0,2.7,2.7,3.9,6.6,65,77,145,0.12,0.23,0.35,0.12,0.35,0.16,0.23,0.38,0.16,0.38
Jota Silva,pt POR,"FW,MF",Nott'ham Forest,25-153,1999,18,3,542,6.0,0,1,1,0,0,0,3,0,0.5,0.5,1.6,2.2,16,12,36,0.00,0.17,0.17,0.00,0.17,0.09,0.27,0.36,0.09,0.36
Eric da Silva Moreira,de GER,"MF,DF",Nott'ham Forest,18-243,2006,2,0,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jahmai Simpson-Pusey,eng ENG,DF,Manchester City,19-058,2005,2,1,96,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Luis Sinisterra,co COL,"FW,MF",Bournemouth,25-198,1999,8,1,208,2.3,1,1,2,1,0,0,0,0,1.1,1.1,1.0,2.1,14,3,29,0.43,0.43,0.87,0.43,0.87,0.48,0.44,0.92,0.48,0.92
Oliver Skipp,eng ENG,MF,Leicester City,24-107,2000,12,7,708,7.9,0,0,0,0,0,0,4,0,0.1,0.1,0.2,0.3,12,20,10,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03
